1,0
4,0
2,7
7,0
12,0
13,0
1,0
1,0
9,0
12,0
1,0
3,0
2,0
2,7
12,0
1,0
2,0
12,0
12,0
4,0
12,0
1,0
12,0
2,0
2,0
2,0
3,0
12,0
1,0
12,0
1,0
7,0
3,0
3,0
2,0
1,0
13,0
1,0
12,0
3,0
2,0
12,0
1,0
2,0
3,0
2,0
2,0
2,0
1,12
5,2
3,0
12,0
2,0
1,0
1,0
2,0
2,0
12,0
3,0
3,0
1,0
1,0
9,0
12,0
3,7
3,0
1,0
2,3
2,3
2,0
2,0
2,0
9,0
2,0
2,0
1,0
1,0
12,1
3,0
2,0
7,0
1,0
2,0
12,0
2,0
2,0
12,0
1,0
1,0
3,0
1,0
3,0
12,0
2,0
7,0
1,0
1,0
2,0
1,0
2,0
12,0
12,0
3,0
4,0
13,0
12,0
1,0
3,0
2,0
2,0
1,0
2,1
3,0
2,0
2,0
1,0
3,0
1,0
2,0
3,0
12,0
1,0
12,0
2,0
12,0
2,0
1,0
1,0
2,0
2,0
1,0
7,0
3,0
12,0
13,0
3,0
1,0
3,9
1,0
2,0
2,0
1,0
2,7
1,0
12,0
1,0
2,0
3,0
2,0
2,0
1,0
12,0
9,0
1,0
1,0
2,0
2,0
1,0
7,0
2,0
2,0
1,0
12,0
2,0
1,0
3,0
2,0
13,0
9,0
1,0
12,0
1,0
1,12
1,0
1,0
3,0
3,0
7,0
3,0
2,0
2,3
1,0
2,0
3,0
1,12
2,0
1,0
1,0
3,0
1,0
1,3
12,0
12,0
7,0
9,0
12,0
12,0
2,7
1,0
1,0
2,0
2,0
2,0
2,0
1,0
2,0
1,0
3,0
12,0
1,0
12,0
2,0
3,2
2,0
1,0
2,3
7,0
1,0
2,0
12,0
2,0
12,0
2,0
4,0
1,0
13,1
13,0
1,12
1,0
1,0
2,0
2,0
1,0
12,0
1,0
2,0
2,7
3,0
9,0
4,0
12,0
2,0
3,0
2,1
2,0
1,0
1,0
4,0
3,0
12,0
2,0
12,0
1,0
1,0
1,12
12,0
2,0
1,0
7,0
1,12
2,0
3,0
12,0
1,0
2,0
2,0
2,9
7,0
2,0
7,0
4,0
2,0
12,0
3,0
12,0
2,0
2,0
12,0
2,0
3,2
12,0
3,0
1,0
2,1
7,12
1,0
1,0
1,0
12,0
1,0
12,0
12,0
3,2
1,0
1,0
1,0
3,2
12,0
12,0
2,0
3,0
2,0
2,0
13,0
2,0
2,0
3,2
3,0
1,0
3,0
3,0
3,1
2,7
2,0
2,0
1,0
3,2
2,0
2,0
2,0
2,0
2,0
12,0
12,0
12,0
1,0
1,0
12,0
1,0
12,0
12,0
2,3
1,0
12,0
13,0
2,0
2,0
2,0
3,0
2,0
2,0
3,0
2,0
2,0
3,7
3,0
3,0
3,2
2,0
3,0
1,0
1,0
2,0
3,0
1,12
4,0
7,0
7,0
1,0
1,0
1,0
1,0
3,0
2,0
2,0
12,0
1,0
2,0
2,0
12,0
7,2
3,0
3,0
2,0
12,1
2,0
1,0
9,0
2,0
2,0
1,0
3,7
2,0
3,2
2,12
1,1
9,0
3,0
2,0
3,2
2,0
3,0
3,0
12,1
1,0
1,12
3,0
1,0
1,0
3,2
1,0
1,0
2,7
12,0
12,0
3,0
2,0
7,0
5,0
1,0
2,0
2,0
2,0
2,0
2,0
9,0
4,0
3,0
1,12
1,0
3,2
2,0
1,0
7,0
7,0
7,0
2,0
7,0
12,0
2,0
2,0
2,0
1,0
12,0
2,0
12,0
2,0
1,0
1,0
9,0
2,0
3,0
12,0
3,0
2,0
12,0
1,0
2,0
1,0
1,0
12,0
1,0
12,0
2,0
3,1
2,0
1,0
2,0
2,9
12,0
12,0
1,0
2,0
2,0
12,0
12,0
2,0
1,0
1,0
12,0
3,1
2,0
12,0
2,0
3,0
1,0
12,0
1,12
3,0
2,0
12,0
12,0
3,0
7,0
7,0
1,0
3,7
13,0
3,2
1,0
2,0
2,0
2,0
2,0
